City,Category,Spot Name (English),Spot Name (Korean),Neighborhood,Michelin Status,Official Source Link
Busan,Classic Korean & Specialty,Gayapocha Seonjigukbap Main Branch,가야포차선지국밥 본점,"58 Gayagongwon-ro, Busanjin-gu",None,https://visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002001000&uc_seq=2326
Busan,Classic Korean & Specialty,Pohang Dwaeji Gukbap,포항돼지국밥,"25 Seomyeon-ro 68beon-gil, Busanjin-gu (Seomyeon local food street)",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=60053
Busan,Classic Korean & Specialty,Geumsubokguk Haeundae Branch,금수복국,"23 Jungdong 1-ro 43beon-gil, Haeundae-gu",None,https://visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002001000&uc_seq=146
Busan,Classic Korean & Specialty,Jeju Bokguk,제주복국,"481 Jeoryeong-ro, Yeongdo-gu",None,https://www.visitbusan.net/en/index.do?menuCd=DOM_000000301002001000&uc_seq=1457&lang_cd=en
Daejeon,Noodles,Hanmaeum Naengmyeon,한마음냉면,"1F, 41 Jinjam-ro 70beon-gil, Yuseong-gu (Wonnae-dong)",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=190013
Seoul,Noodles,Ojang-dong Hamheung Naengmyeon,오장동 함흥냉면,"108 Mareunnae-ro, Jung-gu (Ojang-dong)",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=191835
Seoul,Noodles,Gaeseong Mandu Koong,개성만두 궁,"11-3 Insadong 10-gil, Jongno-gu (Gwanhun-dong)",Not claimed - see guide note,https://english.visitkorea.or.kr/svc/whereToGo/locIntrdn/rgnContentsView.do?vcontsId=100337
Seoul,Noodles,Jongro Seolleongtang,종로설렁탕,"110 Jong-ro, Jongno-gu",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=60079
Seoul,Noodles,Oegojip Seolleongtang,외고집설렁탕,"555 Samseong-ro, Gangnam-gu (Samseong-dong)",Michelin Guide listing per VisitKorea (no year),https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=192628
Seoul,Noodles,Jinmi Pyeongyang Naengmyeon,진미평양냉면,"305-3 Hakdong-ro, Gangnam-gu (Nonhyeon-dong)",Michelin Guide Seoul 2023 (VisitKorea),https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=191652
Seoul,Grilled meat,Won Gopchang,원곱창,"105 Sajik-ro, Jongno-gu (Sejong Village / Seochon)",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=58488
Seoul,Grilled meat,Samgyeopsal Jeonmunjeom Daetongnyeong,삼겹살전문점대통령,"1F, 249-24 Jangchungdan-ro, Jung-gu (Dongdaemun History & Culture Park side)",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=59055
Seoul,Classic Korean,Vegan Kitchen,,"1F, 21 Toegye-ro 20-gil, Jung-gu (Namsan-dong 2-ga)",None,https://english.visitseoul.net/restaurants/VeganKitchen/ENP4uv0kz
Seoul,Classic Korean,KAMPUNGKU,,"2F, 25-1 Toegye-ro 20-gil, Jung-gu",None,https://english.visitseoul.net/restaurants/kampungku/ENPzodmu8
Seoul,Classic Korean,MaeHwa Lamb Skewers Myeongdong,,"1F, 15 Toegye-ro 20-gil, Jung-gu",None,https://english.visitseoul.net/restaurants/MaeHwaLambSkewersMyeongdong/ENPmp2ukb
Busan,Milmyeon & Noodles,100.1.pyeongnaeng,백일평냉,"1F, 29 Namcheonbada-ro 10beon-gil, Suyeong-gu (Namcheon)",None,https://www.visitbusan.net/index.do?menuCd=DOM_000000301002001000&uc_seq=2359&lang_cd=en
Busan,Milmyeon & Noodles,Halmaejip Hoeguksu,할매집회국수,"25-3 Nampo-gil, Jung-gu (Nampo)",None,https://visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002001000&uc_seq=1531
Busan,Korean-Chinese & Dumplings,Hongseongbang,홍성방,"16 Jungang-daero 179beon-gil, Dong-gu (Busan Chinatown, by Busan Station)",None,https://www.visitbusan.net/en/index.do?menuCd=DOM_000000301002001000&uc_seq=1262&lang_cd=en
Busan,Classic Korean & Specialty,Marine Buffet,마린뷔페,"52 Chungjang-daero 9beon-gil, Jung-gu (near Busan Station / Chinatown)",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=73574
Daejeon,Classic Korean & Specialty,Gyeryong Samgyetang,계룡삼계탕,"33 Jinjam-ro 92beon-gil, Yuseong-gu (Wonnae-dong)",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=189621
Daejeon,Classic Korean & Specialty,Hanbang Samgyetang,한방삼계탕,"43 Jeonmin-ro 14beon-gil, Yuseong-gu (Jeonmin-dong)",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=190090
Daejeon,Classic Korean & Specialty,Pungnyeon Samgyetang,풍년삼계탕,"407 Gyejok-ro, Dong-gu (by the Daejeon Terminal Complex)",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=190298
Daejeon,Classic Korean & Specialty,Gugu Jeonbok Samgyetang,구구전복삼계탕,"2 Biraeseo-ro 81beon-gil, Daedeok-gu (Birae-dong)",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=190198
Cheonan,Korean,Jangkalguksu,장칼국수,"49 Cheonancheon 8-gil, Dongnam-gu (Sinbu-dong) — Korean address as printed: 천안시 동남구 천안천8길 49",None,https://tour.chungnam.go.kr/prog/rst/kor/sub02_03_02/view.do?rstNo=3
Cheonan,Korean,Jeongsang Galbi,정상갈비,"107 Yuryang-ro, Dongnam-gu — Korean address as printed: 충청남도 천안시 동남구 유량로 107",None,https://tour.chungnam.go.kr/prog/rst/kor/sub02_03_02/view.do?rstNo=480
Cheonan,Korean,Galjae Sanjang,갈재산장,"348 Haesu-gil, Dongnam-gu (Gwangdeok-myeon) — Korean address as printed: 충청남도 천안시 동남구 해수길 348 갈채산장식당",None,https://tour.chungnam.go.kr/prog/rst/kor/sub02_03_02/view.do?rstNo=460
Seoul,Noodles,Igamyeonok,이가면옥,"33 Jahamun-ro 1-gil, Jongno-gu (Seochon, by Gyeongbokgung Station)",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=58862
Seoul,Noodles,Well-being Sujebi,웰빙수제비,"123 Jong-ro, Jongno-gu (Jongno 3-ga)",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=47607
Seoul,Grilled meat,Eunhangnamujip,은행나무집,"30 Eulji-ro 43-gil, Jung-gu (Euljiro / Dongdaemun side)",None,https://english.visitkorea.or.kr/svc/whereToGo/locIntrdn/rgnContentsView.do?vcontsId=58916
Seoul,Classic Korean,Busan Agujjim Gulbossam,부산아구찜굴보쌈,"35 Donhwamun-ro, Jongno-gu (Jongno 3-ga)",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=60265
Seoul,Classic Korean,Chamchi Maeul,참치마을,"31 Donhwamun-ro, Jongno-gu (Jongno 3-ga)",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=57407
Seoul,Classic Korean,Sigoljeonjip,시골전집,"123 Jong-ro, Jongno-gu (Jongno 3-ga — same building as Well-being Sujebi)",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=60375
Suwon,Korean seafood,Bukmun Seafood,북문 해물탕,"27 Jeongjo-ro 922beon-gil, Jangan-gu (by Janganmun / Hwahongmun)",None,https://english.visitkorea.or.kr/svc/contents/infoHtmlView.do?vcontsId=138538
Suwon,Korean,Chungmyung,청명쭈꾸미 철판구이,"48 Gwonjung-ro 56beon-gil, Gwonseon-gu",None,https://english.visitkorea.or.kr/svc/contents/infoHtmlView.do?vcontsId=138561
Suwon,Indian / Nepalese,Swoyambhu,수엠부,"9 Maesan-ro 20beon-gil, Paldal-gu (near Suwon Station)",None,https://english.visitkorea.or.kr/svc/contents/infoHtmlView.do?vcontsId=138321
Suwon,Indian,Naan,난,"2F, 45 Ingye-ro 166beon-gil, Paldal-gu (Ingye-dong)",None,https://english.visitkorea.or.kr/svc/contents/infoHtmlView.do?vcontsId=138475
Suwon,Indian,Om Restaurant Gwanggyo Branch,옴레스토랑 광교점,"#B223 Raon Zone, 2F, Avenue France, 85 Centraltown-ro, Yeongtong-gu (Gwanggyo)",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=138543
Busan,Milmyeon & Noodles,Myeonchaeum,면채움,"11 Geumjeong-ro 231beon-gil, Geumjeong-gu (Busan National University area)",None,https://visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002001000&uc_seq=1509
Busan,Korean-Chinese & Dumplings,Jang Seong Hyang,장성향,"29 Daeyeong-ro 243beon-gil, Dong-gu (Chinatown, by Busan Station)",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=81181
Busan,Classic Korean & Specialty,Jeongjitgan,정짓간,"1F, 6 Bibong-ro, Saha-gu",None,https://visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002001000&uc_seq=1512
Busan,Classic Korean & Specialty,Woojung's Bibimbap,우정,"45-7 Jungang-daero 692beon-gil, Busanjin-gu (Seomyeon, Street of Youth)",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=53652
Busan,Classic Korean & Specialty,Dongbaekseom Hoejip,동백섬횟집,"17 Haeundaehaebyeon-ro 209beonna-gil, Haeundae-gu (near Haeundae Grand Hotel)",None,https://visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002001000&uc_seq=154
Busan,Classic Korean & Specialty,Ilbeonji Jagalchi Sangomjangeo,일번지자갈치산곰장어,"12 Gunam-ro 41beon-gil, Haeundae-gu (inside Haeundae Market)",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=74351
Cheonan,Korean,Byeogodong,벽오동,"138 Hyanggyo 1-gil, Dongnam-gu (Yuryang-dong) — Korean address as printed: 천안시 동남구 향교1길 138",None,https://tour.chungnam.go.kr/prog/rst/kor/sub02_03_02/view.do?rstNo=2
Cheonan,Korean seafood,Kkachi Bokjip,까치복집,"13-7 Baekseok 3-ro, Seobuk-gu (Baekseok-dong) — Korean address as printed: 천안시 서북구 백석3로 13-7",None,https://tour.chungnam.go.kr/prog/rst/kor/sub02_03_02/view.do?rstNo=4
Cheonan,Cafe,Dongmin Mokjang,동민목장,"154 Wangrim-gil, Seobuk-gu (Seonghwan-eup) — Korean address as printed: 충청남도 천안시 서북구 왕림길 154",None,https://tour.chungnam.go.kr/prog/rst/kor/sub02_03_02/view.do?rstNo=481
Seoul,Classic Korean,Seoul Wonjo Agujjim,서울 원조아구찜,"436-1 Samil-daero, Jongno-gu (Insa-dong / Tapgol Park side)",None,https://english.visitkorea.or.kr/svc/contents/infoHtmlView.do?vcontsId=138540
Seoul,Classic Korean,Sejong Village Chicken,세종 마을 치킨,"24-1 Jahamun-ro 1-gil, Jongno-gu (Seochon, by Gyeongbokgung Station)",None,https://english.visitkorea.or.kr/svc/contents/infoHtmlView.do?vcontsId=138476
Seoul,Non-Korean / halal-friendly,Pooja 2,뿌자 2,"4F, 13 Eulji-ro 43-gil, Jung-gu (Euljiro 4-ga, walkable from Myeongdong)",None,https://english.visitkorea.or.kr/svc/contents/infoHtmlView.do?vcontsId=138539
Seoul,Non-Korean / halal-friendly,Itaewon Kitchen,이태원 키친,"2F, 34 Usadan-ro, Yongsan-gu (Usadan-ro, below Seoul Central Mosque)",None,https://english.visitkorea.or.kr/svc/contents/infoHtmlView.do?vcontsId=138546
Seoul,Non-Korean / halal-friendly,Zaffran,자프란,"39 Usadan-ro 10-gil, Yongsan-gu (Usadan-ro 10-gil, Itaewon)",None,https://english.visitkorea.or.kr/svc/contents/infoHtmlView.do?vcontsId=138548
Seoul,Non-Korean / halal-friendly,AANGAN,아건,"63 Ewhayeodae-gil, Seodaemun-gu (Ewha Womans University)",None,https://english.visitkorea.or.kr/svc/contents/infoHtmlView.do?vcontsId=138322
Seoul,Non-Korean / halal-friendly,Ezindia,이지인디아,"3F, 20 Yonsei-ro, Seodaemun-gu (Sinchon, on the Yonsei approach)",None,https://english.visitkorea.or.kr/svc/contents/infoHtmlView.do?vcontsId=138547
Busan,Milmyeon & Noodles,Busak Yakkong Milmyeon,부산약콩밀면,"1F, 80 Dongmyeong-ro 145beon-gil, Nam-gu",None,https://visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002001000&uc_seq=1508
Busan,Milmyeon & Noodles,Ha Gi-yeon Jinju Naengmyeon,하기연진주냉면,"34 Goejeong-ro, Saha-gu",None,https://visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002001000&uc_seq=1524
Busan,Milmyeon & Noodles,Haemul Wangchang Kalguksu,해물왕창칼국수,"316 Sasang-ro, Sasang-gu",None,https://visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002001000&uc_seq=1518
Busan,Milmyeon & Noodles,Jungang Momil,중앙모밀,"9-1 Jungang-daero 49beon-gil, Jung-gu (Nampo / Jungang-dong)",None,https://visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002001000&uc_seq=1503
Busan,Milmyeon & Noodles,Lee Family's Kalguksu,이가네 칼국수,"27 Gwangjang-ro, Sasang-gu (by Sasang Intercity Bus Terminal)",None,https://visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002001000&uc_seq=1526
Busan,Milmyeon & Noodles,Yasumaru,야스마루,"24 Jungang-daero 756beon-gil, Busanjin-gu (Seomyeon)",None,https://visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002001000&uc_seq=1502
Busan,Classic Korean,Uri Dwaejigukbap,우리돼지국밥,"27-1 Choyang-ro, Dong-gu (near Busan Station)",None,https://visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002001000&uc_seq=1513
Busan,Classic Korean,Bugwang Dwaejigukbap,부광돼지국밥,"15-1 Daecheong-ro 141beon-gil, Jung-gu (Nampo / Jungang-dong)",None,https://visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002001000&uc_seq=1516
Busan,Classic Korean,Halmae Jaecheopguk,할매재첩국,"8 Gwangnam-ro 120beon-gil, Suyeong-gu (Gwangalli side)",None,https://visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002001000&uc_seq=1519
Busan,Classic Korean,Wonjo Kkorigomjip,원조꼬리곰집,"52 Oncheonjang-ro, Dongnae-gu (Oncheonjang)",None,https://visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002001000&uc_seq=1522
Busan,Classic Korean,Park Hae-yun Tongyeong Bapsang,박해윤 통영 해물밥상,"38 Yeonan-ro, Dongnae-gu",None,https://visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002001000&uc_seq=1521
Busan,Classic Korean,Janganjip,장안집,"365 Jangan-ro, Jangan-eup, Gijang-gun",None,https://visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002001000&uc_seq=1525
Busan,Snacks & Cafes,Lee Family's Tteokbokki,이가네 떡볶이,"48 Bupyeong 1-gil, Jung-gu (Bupyeong Kkangtong Market)",None,https://visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002001000&uc_seq=1527
Suwon,Classic Korean,Ori Daega,오리대가,"27 Gyeongsu-daero 565beon-gil, Paldal-gu (north of Paldalmun)",None,https://english.visitkorea.or.kr/svc/contents/infoHtmlView.do?vcontsId=138544
Cheonan,Snacks & Cafes,A-Gate Cafe,에이게이트카페,"183 Dongni 2-gil, Dongnam-gu (Mokcheon-eup) — Korean address as printed: 충청남도 천안시 동남구 동리2길 183",None,https://tour.chungnam.go.kr/prog/rst/kor/sub02_03_02/view.do?rstNo=483
Seoul,Noodles,Jinguk Seolleongtang,진국설렁탕,Seongdong-gu,None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=47258
Seoul,Classic Korean,Seongwon Jeonju Kongnamul Gukbap,성원 전주콩나물국밥,"Myeongdong, Jung-gu",None,https://english.visitseoul.net/restaurants/SeongwonJeonjuKongnamulGukbap/ENPwmqzyh
Seoul,Noodles,Teumsae Ramyeon,틈새라면,"Myeongdong, Jung-gu",None,https://english.visitseoul.net/restaurants/Teumsae-Ramyeon1/ENP013599
Seoul,Classic Korean,Myeongdong Tonkatsu,명동돈까스,"Myeongdong, Jung-gu",None,https://english.visitseoul.net/restaurants/Myeongdong-Tonkatsu1/ENP010843
Seoul,Classic Korean,Myeongdong Jjukkumi,명동쭈꾸미,"Hoehyeon, Jung-gu",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=229122
Seoul,Classic Korean,Eun&Jeong Myeongdong Dakgalbi,은앤정명동닭갈비,"Myeongdong, Jung-gu",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=58138
Seoul,Classic Korean,Ttosuni Sundae,또순이원조순대,"Sillim-dong, Gwanak-gu",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=99580
Seoul,Classic Korean,OPPADAK Myeongdong,오븐에빠진닭 명동,"Myeongdong, Jung-gu",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=58021
Seoul,Classic Korean,Insadong Garlic Bossam,인사동마늘보쌈,"Insadong, Jongno-gu",None,https://english.visitkorea.or.kr/svc/whereToGo/locIntrdn/rgnContentsView.do?vcontsId=1564731
Seoul,Noodles,Gomgukshijip Myeongdong Branch,곰국시집 명동,"Myeongdong, Jung-gu",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=76255
Busan,Classic Korean,Hanttukbaegi,한뚝배기,"Seomyeon, Busanjin-gu",None,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=54000
Busan,Milmyeon & Noodles,Daom,다옴,"Seomyeon, Busanjin-gu",None,https://visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002001000&uc_seq=1107
Busan,Grilled meat,Haeundae Ilpum Hanwoo,해운대일품한우,Haeundae-gu,None,https://www.visitbusan.net/en/index.do?menuCd=DOM_000000302003001000&uc_seq=2195&lang_cd=en
Busan,Grilled meat,Chopilsal Dwaejigui,,"Marine City, Haeundae-gu",None,https://www.visitbusan.net/en/index.do?menuCd=DOM_000000301002001000&uc_seq=1850&lang_cd=en
Busan,Fine dining,Sogonggan,,Haeundae-gu,None,https://www.visitbusan.net/en/index.do?menuCd=DOM_000000301002001000&uc_seq=1846&lang_cd=en
Busan,Classic Korean,Woobong Shabu,,"Cheongsapo, Haeundae-gu",None,https://www.visitbusan.net/en/index.do?menuCd=DOM_000000301002001000&uc_seq=1849&lang_cd=en
Busan,Cafe,bibibidang,,"Dalmaji-gil, Haeundae-gu",None,https://www.visitbusan.net/en/index.do?menuCd=DOM_000000301002001000&uc_seq=1845&lang_cd=en
Busan,Classic Korean,Seoul Samgyetang,서울삼계탕,"Nampo, Jung-gu",None,https://english.visitkorea.or.kr/svc/contents/infoHtmlView.do?vcontsId=138397
Busan,Classic Korean,Gwangangukbap,광안국밥,"Gwangalli, Suyeong-gu",None,https://www.visitbusan.net/en/index.do?menuCd=DOM_000000301002001000&uc_seq=1123&lang_cd=en
Busan,Classic Korean,Subok Dwaejigukbap,수복돼지국밥,Yeonje-gu,None,https://visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002001000&uc_seq=1515
Suwon,Korean seafood,Tongyoung oyster&octopus love,통영굴사랑&낙지사랑,"Paldal-gu, Suwon",None,https://english.visitkorea.or.kr/svc/contents/infoHtmlView.do?vcontsId=138555
Busan,Classic Korean,Suhyang Bapsang,수향밥상,"Dadae-dong, Saha-gu",None,https://www.visitbusan.net/en/index.do?menuCd=DOM_000000301002001000&uc_seq=1517
Busan,Classic Korean,Samnak Hadong Jaecheopguk,,"Samnak, Sasang-gu",None,https://www.visitbusan.net/en/index.do?menuCd=DOM_000000301002001000&uc_seq=1523
Busan,Japanese,Mori,,"Haeundae Beach, Haeundae-gu",None,https://www.visitbusan.net/en/index.do?menuCd=DOM_000000302003001000&uc_seq=1844
Busan,Cafe,Bubu Coffee,,"Gwangbok-dong, Jung-gu",None,https://www.visitbusan.net/en/index.do?menuCd=DOM_000000302003001000&uc_seq=1838
Busan,Korean-Chinese,Donghwa Banjeom,,"Bosu-dong, Jung-gu",None,https://www.visitbusan.net/en/index.do?menuCd=DOM_000000302003001000&uc_seq=1839
Busan,Noodles,Myeonok Hyangcheon,,"U-dong, Haeundae-gu",None,https://www.visitbusan.net/en/index.do?menuCd=DOM_000000302003001000&uc_seq=1841
Busan,Grilled Meat,Jinmi Eonyang Bulgogi,,"Namcheon-dong, Suyeong-gu",None,https://www.visitbusan.net/en/index.do?menuCd=DOM_000000302003001000&uc_seq=2196
Seoul,Classic Korean,Pro Soy Crab (Main Branch),,"Sinsa, Seocho-gu",None,https://english.visitseoul.net/restaurants/Pro-Soy-Crab/ENP021838
Seoul,Grilled Meat,Busanjib KBBQ,,"Myeongdong, Jung-gu",None,https://english.visitseoul.net/restaurants/KBBQ/ENPmphdts
Seoul,Classic Korean,Busanjib Fried Chicken,,"Myeongdong, Jung-gu",None,https://english.visitseoul.net/restaurants/BusanjibFriedChicken/ENPk2t5h2
Seoul,Classic Korean,Byeolnan Ori,별난오리,Jongno-gu (Dongdaemun),None,https://english.visitkorea.or.kr/svc/contents/infoHtmlView.do?vcontsId=138398
Seoul,Grilled Meat,Daehan Gopchang (Jangan Branch),,"Jangan-dong, Dongdaemun-gu",None,https://english.visitseoul.net/restaurants/Daehan-Gopchang-Jangan/ENP026324
Seoul,Noodles,Seongcheon Makguksu,성천막국수,"Dapsimni, Dongdaemun-gu",None,https://english.visitseoul.net/restaurants/Seongcheon-Makguksu/ENP011689
Seoul,Classic Korean,Cheongdamgol,,"Cheongdam, Gangnam-gu",None,https://english.visitseoul.net/restaurants/Cheongdamgol1/ENP005496
Seoul,Grilled Meat,Yangmani (Cheongdam Branch),,"Cheongdam, Gangnam-gu",None,https://english.visitseoul.net/restaurants/YangmaniCheongdam-branch/ENP012115
Seoul,Grilled Meat,Yangmani (Yeouido),,"Yeouido, Yeongdeungpo-gu",None,https://english.visitseoul.net/area/Yangmani-EN/ENP011966
Seoul,Korean-Chinese,Yi Ning,,"Cheongdam, Gangnam-gu",None,https://english.visitseoul.net/restaurants/Yi-Ning-EN/ENP001657
Seoul,Korean-Chinese,MAO,,"Cheongdam, Gangnam-gu",None,https://english.visitseoul.net/restaurants/MAO1/ENP005679
Seoul,Grilled Meat,Moodeungsan,,"Cheongdam, Gangnam-gu",None,https://english.visitseoul.net/restaurants/Moodeungsan/ENP006042
Seoul,Japanese,Haemok Nonhyeon,,"Nonhyeon, Gangnam-gu",None,https://english.visitseoul.net/restaurants/HaemokNonhyeon/ENPthrlz3
Seoul,Cafe,Onion (Seongsu),,"Seongsu-dong, Seongdong-gu",None,https://english.visitseoul.net/restaurants/Cafe-Onion/ENP020587
Seoul,Cafe,Kervan Cafe,케르반 카페,"Itaewon, Yongsan-gu",None,https://english.visitkorea.or.kr/svc/contents/infoHtmlView.do?vcontsId=138557
Seoul,Classic Korean,Samarkandcity,사마르칸트시티,"Eulji-ro, Jung-gu",None,https://english.visitkorea.or.kr/svc/contents/infoHtmlView.do?vcontsId=138541
